ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min),velocidad (kmh)
166,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-06-24,19:31:00,3.61,10.0,21.68
167,Avenida Floral Puno,"-15.8268687,-70.0141471",Plaza Vea Puno,"-15.83636,-70.025604",2024-06-08,07:05:00,2.33,6.0,23.27
168,Ministerio de Cultura Puno,"-15.842631,-70.028915",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-10-19,07:42:00,5.29,12.0,26.47
169,Puerto Lacustre Puno,"-15.835401,-70.014945",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-31,22:33:00,2.32,6.0,23.19
170,Parque San Román Puno,"-15.841093,-70.029431",Salcedo Puno,"-15.8687992,-69.9986595",2024-07-02,01:15:00,6.15,12.0,30.74
171,Jr. Los Incas Puno,"-15.836837,-70.024882",Plaza Vea Puno,"-15.83636,-70.025604",2024-06-20,12:03:00,0.13,3.0,2.54
172,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Parque del Periodista Puno,"-15.839012,-70.023311",2024-07-17,13:14:00,0.36,3.0,7.26
173,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-05,08:19:00,4.84,10.77,26.98
174,Avenida El Sol Puno,"-15.8458219,-70.0202123",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-14,22:05:00,1.96,6.0,19.57
175,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-26,10:34:00,2.56,6.0,25.56
176,Plaza Vea Puno,"-15.83636,-70.025604",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-10-30,23:23:00,2.26,6.0,22.65
177,Av. Costanera Puno,"-15.8399095,-70.0176539",Parque del Periodista Puno,"-15.839012,-70.023311",2024-11-28,05:09:00,0.96,3.0,19.26
178,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",2024-06-29,14:43:00,1.56,6.0,15.59
179,Parque San Román Puno,"-15.841093,-70.029431",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-25,05:10:00,1.89,6.0,18.93
180,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Jr. Lima Puno,"-15.838756,-70.02816",2024-07-31,05:07:00,1.14,6.0,11.42
181,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Urbanización Alto Puno,"-15.814292,-70.031918",2024-08-20,16:22:00,4.84,10.82,26.84
182,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-07-02,23:42:00,1.69,6.0,16.9
183,Jr. Lima Puno,"-15.838756,-70.02816",Plaza Vea Puno,"-15.83636,-70.025604",2024-06-24,11:48:00,0.55,3.0,11.06
184,Parque San Román Puno,"-15.841093,-70.029431",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-08-06,02:51:00,7.66,17.21,26.69
185,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-08-30,17:40:00,7.56,13.62,33.29
186,Ministerio de Cultura Puno,"-15.842631,-70.028915",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-09-01,11:33:00,0.45,3.0,9.0
187,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-08-25,18:59:00,5.08,12.0,25.41
188,Avenida Floral Puno,"-15.8268687,-70.0141471",Jr. Lima Puno,"-15.838756,-70.02816",2024-08-08,23:14:00,2.94,6.96,25.37
189,Parque del Niño Puno,"-15.858797,-70.012071",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-10-29,08:36:00,7.96,14.13,33.8
190,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-03,12:20:00,1.47,6.0,14.74
191,Plaza Vea Puno,"-15.83636,-70.025604",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-06-30,22:38:00,7.97,16.47,29.03
192,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-06-14,18:30:00,2.49,6.8,22.01
193,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-27,09:56:00,2.65,6.69,23.74
194,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-11-21,14:30:00,2.0,6.0,19.97
195,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-11-10,08:59:00,1.32,6.0,13.19
196,Avenida Floral Puno,"-15.8268687,-70.0141471",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-06-01,18:57:00,2.57,6.02,25.6
197,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-10,18:48:00,1.06,6.0,10.56
198,Parque Pino Puno,"-15.8378073,-70.0280672",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-11-25,16:11:00,1.4,6.0,13.97
199,Avenida La Torre Puno,"-15.8336052,-70.0276202",Urbanización Alto Puno,"-15.814292,-70.031918",2024-10-05,17:03:00,3.18,10.0,19.09
200,Plaza Vea Puno,"-15.83636,-70.025604",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-06-20,17:45:00,0.82,3.0,16.32
201,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-07-27,06:40:00,3.12,10.0,18.7
202,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Parque del Niño Puno,"-15.858797,-70.012071",2024-08-07,06:58:00,3.23,10.0,19.36
203,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-11-16,17:48:00,7.11,13.14,32.47
204,Salcedo Puno,"-15.8687992,-69.9986595",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-09,04:10:00,7.6,15.68,29.06
205,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-09-29,15:23:00,0.53,3.0,10.58
206,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-06-04,21:34:00,2.03,6.0,20.29
207,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-31,21:53:00,0.58,3.0,11.58
208,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-22,13:19:00,3.16,10.0,18.97
209,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-08-13,18:59:00,4.95,11.13,26.68
210,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-10,20:26:00,2.96,6.97,25.5
211,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Parque del Periodista Puno,"-15.839012,-70.023311",2024-06-03,10:49:00,0.6,3.0,11.96
212,Jayllihuaya Puno,"-15.8787471,-69.9751057",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-09,08:18:00,9.53,19.53,29.29
213,Avenida Floral Puno,"-15.8268687,-70.0141471",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-28,23:53:00,2.08,6.0,20.81
214,Salcedo Puno,"-15.8687992,-69.9986595",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-10-15,09:09:00,2.8,7.49,22.43
215,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-09-01,01:16:00,1.34,6.0,13.38
216,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-03,15:35:00,2.07,6.0,20.71
217,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-12,07:35:00,3.23,10.0,19.36
218,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-27,20:03:00,3.33,10.0,19.96
219,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-18,13:55:00,1.62,6.0,16.15
220,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-08-15,22:13:00,2.59,6.7,23.22
221,Av. Costanera Puno,"-15.8399095,-70.0176539",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-06-20,08:55:00,3.44,10.0,20.64
222,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-30,23:13:00,7.63,16.8,27.24
223,Jr. Tarapacá Puno,"-15.83755,-70.029158",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-11-11,11:05:00,2.84,6.0,28.45
224,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-12,08:29:00,7.06,14.67,28.89
226,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-08-16,15:49:00,1.14,6.0,11.45
227,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Parque del Niño Puno,"-15.858797,-70.012071",2024-10-11,16:09:00,1.9,6.0,18.95
228,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-06-12,09:23:00,4.37,10.0,26.24
229,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-21,06:35:00,4.1,10.0,24.6
230,Puerto Lacustre Puno,"-15.835401,-70.014945",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-10-10,18:39:00,1.08,6.0,10.8
231,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-11-12,19:16:00,7.3,14.5,30.21
232,Senati Puno,"-15.8699536,-69.9988485",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-10-01,18:20:00,6.92,14.81,28.04
233,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Parque Pino Puno,"-15.8378073,-70.0280672",2024-11-29,23:34:00,0.69,3.0,13.86
234,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-11-04,12:05:00,9.68,19.82,29.3
235,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-11-17,07:20:00,5.26,12.0,26.32
236,Jr. Los Incas Puno,"-15.836837,-70.024882",Jr. Lima Puno,"-15.838756,-70.02816",2024-07-01,06:56:00,0.64,3.0,12.86
237,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-07,20:20:00,1.93,6.0,19.32
238,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-07-02,18:53:00,4.42,10.09,26.29
239,Salcedo Puno,"-15.8687992,-69.9986595",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-26,07:58:00,6.36,13.57,28.1
240,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-09-02,03:38:00,4.84,11.59,25.05
241,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Urbanización Alto Puno,"-15.814292,-70.031918",2024-08-21,02:39:00,4.02,10.0,24.1
242,Parque San Román Puno,"-15.841093,-70.029431",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-07-11,00:03:00,1.32,6.0,13.2
243,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-10-27,15:30:00,2.25,6.0,22.54
244,Puerto Lacustre Puno,"-15.835401,-70.014945",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-09-15,21:11:00,2.53,6.0,25.26
245,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-06-05,04:40:00,4.9,10.32,28.49
246,Colegio Adventista Puno,"-15.8366071,-70.0291852",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-09-07,02:20:00,1.99,6.0,19.86
247,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-01,07:17:00,0.72,3.0,14.3
248,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-10-26,07:09:00,1.04,6.0,10.4
249,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-13,05:41:00,7.82,14.7,31.91
250,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-07-04,19:10:00,2.2,6.0,22.01
251,Puerto Lacustre Puno,"-15.835401,-70.014945",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-16,01:44:00,1.59,6.0,15.89
252,Senati Puno,"-15.8699536,-69.9988485",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-09-07,18:32:00,7.57,14.56,31.19
253,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-09-03,03:22:00,3.35,10.0,20.12
254,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Senati Puno,"-15.8699536,-69.9988485",2024-07-05,01:54:00,6.1,12.13,30.18
255,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-26,15:19:00,0.51,3.0,10.14
256,Parque Pino Puno,"-15.8378073,-70.0280672",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-07-06,21:01:00,0.25,3.0,5.02
258,Jr. Lima Puno,"-15.838756,-70.02816",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-07-30,17:40:00,5.04,12.0,25.19
259,Urbanización Alto Puno,"-15.814292,-70.031918",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-02,22:55:00,4.06,10.0,24.35
260,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-11-14,23:47:00,0.23,3.0,4.68
261,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-28,16:13:00,1.55,6.0,15.51
262,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-09-13,05:51:00,2.5,6.0,25.03
263,Jr. Tarapacá Puno,"-15.83755,-70.029158",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-14,01:41:00,2.76,8.04,20.57
264,Ministerio de Cultura Puno,"-15.842631,-70.028915",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-06-13,15:04:00,3.95,10.0,23.72
265,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-06-18,14:55:00,1.77,6.0,17.66
266,Colegio Adventista Puno,"-15.8366071,-70.0291852",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-25,17:56:00,0.57,3.0,11.34
267,Puerto Lacustre Puno,"-15.835401,-70.014945",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-03,11:15:00,3.4,10.0,20.42
268,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-06,19:00:00,3.85,10.0,23.1
269,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-09-12,18:13:00,1.79,6.0,17.87
270,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-08-11,12:34:00,2.24,6.0,22.38
271,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-07-19,16:33:00,2.39,6.45,22.24
272,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-08-11,11:30:00,3.96,10.0,23.73
273,Plaza Vea Puno,"-15.83636,-70.025604",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-10-21,04:14:00,7.26,14.6,29.84
274,Senati Puno,"-15.8699536,-69.9988485",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-30,03:24:00,5.03,12.0,25.16
275,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-09-19,01:32:00,1.23,6.0,12.25
276,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-08-19,03:49:00,1.7,6.0,17.02
277,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-10-07,17:02:00,6.79,12.53,32.51
278,Urbanización Alto Puno,"-15.814292,-70.031918",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-10-31,00:42:00,4.94,11.04,26.84
279,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-28,20:22:00,0.97,3.0,19.32
280,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-10,19:24:00,2.52,6.73,22.48
281,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-13,12:00:00,3.86,10.0,23.15
282,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-07-13,06:36:00,2.33,6.0,23.25
283,Puerto Lacustre Puno,"-15.835401,-70.014945",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-07,00:02:00,1.73,6.0,17.3
284,Puerto Lacustre Puno,"-15.835401,-70.014945",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-19,20:36:00,2.36,6.56,21.61
285,Jayllihuaya Puno,"-15.8787471,-69.9751057",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-07-26,03:37:00,9.61,18.7,30.84
286,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-10-17,07:00:00,6.52,12.21,32.05
287,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-03,23:05:00,3.55,10.0,21.29
288,Avenida La Torre Puno,"-15.8336052,-70.0276202",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-09-07,23:15:00,0.49,3.0,9.86
289,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Plaza Vea Puno,"-15.83636,-70.025604",2024-08-21,22:52:00,4.16,10.0,24.93
290,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-06-25,03:44:00,3.53,10.0,21.16
291,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-07-14,05:33:00,2.89,8.09,21.42
292,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-27,09:00:00,3.11,10.0,18.65
293,Jr. Tarapacá Puno,"-15.83755,-70.029158",Salcedo Puno,"-15.8687992,-69.9986595",2024-08-30,17:47:00,7.31,14.52,30.21
294,Urbanización Bellavista Puno,"-15.832755,-70.022242",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-06-29,01:03:00,1.48,6.0,14.75
295,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Jr. Lima Puno,"-15.838756,-70.02816",2024-09-23,14:21:00,4.14,10.0,24.82
296,Jr. Lima Puno,"-15.838756,-70.02816",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-08-07,20:03:00,7.43,15.1,29.51
298,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Parque del Periodista Puno,"-15.839012,-70.023311",2024-10-24,21:58:00,1.56,6.0,15.65
299,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-17,12:44:00,3.26,10.0,19.59
300,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-09-06,18:05:00,6.42,13.14,29.32
301,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-28,16:47:00,0.92,3.0,18.3
302,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-09-29,11:46:00,3.05,10.0,18.32
303,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Jr. Lima Puno,"-15.838756,-70.02816",2024-06-27,19:10:00,0.24,3.0,4.7
304,Jr. Lima Puno,"-15.838756,-70.02816",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-09,17:40:00,0.86,3.0,17.24
306,Parque Pino Puno,"-15.8378073,-70.0280672",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-06-09,10:18:00,8.47,16.0,31.76
307,Urbanización Alto Puno,"-15.814292,-70.031918",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-10-10,02:39:00,5.38,12.0,26.92
308,Senati Puno,"-15.8699536,-69.9988485",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-12,02:53:00,5.73,12.0,28.66
309,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-05,07:36:00,1.41,6.0,14.1
310,Urbanización Bellavista Puno,"-15.832755,-70.022242",Plaza Vea Puno,"-15.83636,-70.025604",2024-11-21,10:01:00,0.8,3.0,15.98
311,Urbanización Bellavista Puno,"-15.832755,-70.022242",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-07-31,17:26:00,1.43,6.0,14.31
312,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-03,03:57:00,1.63,6.0,16.3
313,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-08,13:49:00,1.75,6.0,17.53
314,Av. Costanera Puno,"-15.8399095,-70.0176539",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-06-05,17:59:00,7.17,15.3,28.12
315,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-23,05:11:00,4.34,10.34,25.18
316,Parque del Periodista Puno,"-15.839012,-70.023311",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-07,20:25:00,2.86,8.16,21.04
317,Plaza Vea Puno,"-15.83636,-70.025604",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-08-23,18:16:00,1.8,6.0,17.95
318,Plaza Vea Puno,"-15.83636,-70.025604",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-09-26,00:41:00,5.3,12.0,26.5
319,Avenida La Torre Puno,"-15.8336052,-70.0276202",Senati Puno,"-15.8699536,-69.9988485",2024-06-21,18:19:00,7.76,14.15,32.92
