ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min)
175,Colegio Don Bosco Puno,"-15.8282,-70.0481",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-08-02,09:45:00,3.87,11.8
176,Urbanización Bellavista Puno,"-15.84,-70.028",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-07-05,18:11:00,2.86,10.0
177,Urbanización Huajsapata Puno,"-15.856,-70.0235",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-01,01:11:00,0.8,2.64
178,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-11-14,10:00:00,0.99,3.18
179,Jirón Lima Puno,"-15.8387563,-70.0281599",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-07-08,07:14:00,0.8,3.0
180,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-08-25,02:41:00,1.5,4.98
181,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-11-16,21:50:00,5.3,19.24
182,Parque Pino Puno,"-15.8378073,-70.0280672",Parque del Niño Puno,"-15.841,-70.024",2024-07-18,17:29:00,0.8,2.54
183,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-27,18:58:00,0.91,3.01
184,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-07-23,13:29:00,2.66,9.28
185,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-10-27,12:29:00,1.45,5.89
186,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-07-07,19:37:00,1.65,6.12
187,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Salcedo Puno,"-15.8687992,-69.9986595",2024-08-10,20:10:00,6.26,20.59
188,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-09-12,02:37:00,0.8,2.59
189,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-11-15,08:14:00,3.36,9.52
190,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-19,21:45:00,0.8,2.6
191,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-08-13,09:41:00,4.61,17.51
192,Catedral Basílica de Puno,"-15.8409556,-70.029004",Urbanización Alto Puno,"-15.8282,-70.0481",2024-07-02,09:35:00,3.27,11.75
193,Urbanización Alto Puno,"-15.8282,-70.0481",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-10-06,05:51:00,9.12,30.19
194,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-07-05,13:35:00,1.51,5.51
195,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-06-15,13:50:00,5.03,17.12
196,Terminal Terrestre Puno,"-15.848,-70.0146",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-08-13,18:55:00,1.52,6.51
197,Avenida El Sol Puno,"-15.8458219,-70.0202123",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-09-23,06:53:00,2.27,9.23
198,Urbanización Huajsapata Puno,"-15.856,-70.0235",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-08-09,16:37:00,1.48,5.59
199,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Hospital ESSALUD Puno,"-15.84,-70.0213",2024-07-07,13:08:00,1.33,4.59
200,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-06-05,21:20:00,4.52,16.05
201,Avenida El Sol Puno,"-15.8458219,-70.0202123",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-04,17:37:00,1.68,5.28
202,Jirón Lima Puno,"-15.8387563,-70.0281599",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-11-03,08:25:00,0.8,2.86
203,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-11-14,14:39:00,3.02,8.81
204,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-06-14,11:46:00,6.24,21.21
205,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-09-11,18:53:00,3.44,13.35
206,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-09-29,13:40:00,2.08,7.29
207,Colegio Don Bosco Puno,"-15.8282,-70.0481",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-09-02,23:49:00,11.3,32.95
208,Mercado Central Bellavista Puno,"-15.8375174,-70.026609",Salcedo Puno,"-15.8687992,-69.9986595",2024-06-01,08:33:00,5.9,16.87
209,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Terminal Terrestre Puno,"-15.848,-70.0146",2024-09-24,13:31:00,6.4,22.63
210,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-06-30,02:29:00,1.12,3.98
211,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-06-20,04:32:00,1.79,7.27
212,Catedral Basílica de Puno,"-15.8409556,-70.029004",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-11-06,20:56:00,0.8,3.19
213,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-09-10,18:13:00,1.87,6.87
214,Puerto Lacustre Puno,"-15.8491,-70.0185",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-10-02,03:02:00,1.94,7.53
215,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-08-18,20:36:00,6.58,23.97
216,Real Plaza Puno,"-15.8426,-70.0141",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-11-18,04:00:00,2.04,7.79
217,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-08-25,21:09:00,6.4,19.94
218,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Los Incas Puno,"-15.84,-70.028",2024-08-15,00:57:00,1.48,5.73
219,Puerto Lacustre Puno,"-15.8491,-70.0185",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-11-20,08:44:00,5.57,15.19
220,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-11-12,15:52:00,1.14,3.78
221,Urbanización Huajsapata Puno,"-15.856,-70.0235",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-02,15:33:00,3.03,10.04
222,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-11-25,12:15:00,1.66,5.57
223,Terminal Terrestre Puno,"-15.848,-70.0146",Parque del Niño Puno,"-15.841,-70.024",2024-11-17,07:51:00,1.75,6.61
224,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-07-10,22:57:00,0.8,2.57
225,Salcedo Puno,"-15.8687992,-69.9986595",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-09-22,06:17:00,5.92,18.88
226,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-27,11:57:00,0.8,2.98
227,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-07-04,18:04:00,3.63,11.16
228,Municipalidad Provincial de Puno,"-15.84,-70.025",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-10-18,07:32:00,6.72,25.47
229,Parque Pino Puno,"-15.8378073,-70.0280672",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-10-29,10:59:00,1.23,4.61
230,Parque Pino Puno,"-15.8378073,-70.0280672",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-08-17,07:31:00,1.25,3.96
231,Isla Esteves Puno,"-15.8275387,-69.9925844",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-02,19:57:00,6.23,23.42
232,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Terminal Terrestre Puno,"-15.848,-70.0146",2024-07-25,13:36:00,6.35,19.82
233,Avenida El Sol Puno,"-15.8458219,-70.0202123",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-03,08:04:00,1.24,4.94
234,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-06-23,22:34:00,1.61,6.42
235,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-11-14,09:03:00,5.63,17.06
236,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Real Plaza Puno,"-15.8426,-70.0141",2024-10-17,07:11:00,2.82,11.89
237,Parque Pino Puno,"-15.8378073,-70.0280672",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-08-23,23:51:00,2.71,10.15
238,Parque del Niño Puno,"-15.841,-70.024",Terminal Terrestre Puno,"-15.848,-70.0146",2024-11-05,13:01:00,1.68,5.93
239,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-09,06:24:00,4.65,13.41
240,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-09-27,13:24:00,6.23,16.89
241,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-06,19:09:00,4.2,13.32
242,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Real Plaza Puno,"-15.8426,-70.0141",2024-08-19,18:36:00,2.0,6.88
243,Isla Esteves Puno,"-15.8275387,-69.9925844",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-09-27,22:04:00,5.8,21.77
244,Colegio Adventista Puno,"-15.8366071,-70.0291852",Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",2024-07-11,02:43:00,0.8,2.84
245,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-09-30,22:22:00,1.78,6.35
246,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-09-11,22:57:00,1.97,8.25
247,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-10-31,15:43:00,0.8,2.51
248,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-08-14,20:57:00,0.8,3.39
249,Parque del Niño Puno,"-15.841,-70.024",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-09-10,23:12:00,0.8,2.95
250,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-09,12:43:00,3.94,12.14
251,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-06-13,05:31:00,1.05,3.41
252,Urbanización Alto Puno,"-15.8282,-70.0481",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-08-14,16:24:00,5.67,16.01
253,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",2024-11-28,01:34:00,0.8,4.34
254,Plazuela Santa Rosa Puno,"-15.8385,-70.027",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-02,07:18:00,1.02,3.27
255,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-19,06:32:00,1.03,4.54
256,Urbanización Alto Puno,"-15.8282,-70.0481",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-10-03,15:50:00,3.08,8.44
257,Jayllihuaya Puno,"-15.8787471,-69.9751057",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-10,01:44:00,8.74,22.42
258,Jayllihuaya Puno,"-15.8787471,-69.9751057",Parque del Niño Puno,"-15.841,-70.024",2024-06-12,07:20:00,7.82,23.37
259,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-08-26,11:25:00,3.33,11.91
260,Real Plaza Puno,"-15.8426,-70.0141",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-09-11,22:09:00,5.61,15.13
261,Catedral Basílica de Puno,"-15.8409556,-70.029004",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-08-11,12:06:00,3.03,10.23
262,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-06-26,08:01:00,1.81,7.19
263,Senati Puno,"-15.8699536,-69.9988485",Real Plaza Puno,"-15.8426,-70.0141",2024-07-23,18:38:00,4.81,13.35
264,Jayllihuaya Puno,"-15.8787471,-69.9751057",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-08-07,18:12:00,8.64,24.8
265,Los Incas Puno,"-15.84,-70.028",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-14,15:48:00,0.8,2.76
266,Colegio Adventista Puno,"-15.8366071,-70.0291852",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-11-02,01:21:00,2.62,8.87
267,Urbanización Huajsapata Puno,"-15.856,-70.0235",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-08-18,15:08:00,2.44,8.36
268,Parque Pino Puno,"-15.8378073,-70.0280672",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-11-07,03:03:00,1.62,6.08
269,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-09-15,02:14:00,0.8,4.48
270,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-09-25,11:33:00,0.8,2.89
271,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-09-16,23:43:00,3.02,9.14
272,Isla Esteves Puno,"-15.8275387,-69.9925844",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-07-20,22:49:00,5.67,17.0
273,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-15,11:23:00,3.63,8.98
274,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-11-19,06:07:00,1.84,5.56
275,Catedral Basílica de Puno,"-15.8409556,-70.029004",Polideportivo Chanu Chanu Puno,"-15.86,-70.014",2024-09-10,21:10:00,3.55,9.81
276,Plazuela 15 de Agosto Puno,"-15.839,-70.0265",Plazuela Santa Rosa Puno,"-15.8385,-70.027",2024-06-13,07:50:00,0.8,2.85
277,Catedral Basílica de Puno,"-15.8409556,-70.029004",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-07-26,15:46:00,1.4,5.37
278,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-09-27,18:16:00,0.8,4.65
279,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-06-01,16:02:00,0.8,3.24
280,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Real Plaza Puno,"-15.8426,-70.0141",2024-06-26,21:56:00,5.67,19.02
281,Colegio Adventista Puno,"-15.8366071,-70.0291852",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-07-17,11:16:00,6.46,18.22
282,Jayllihuaya Puno,"-15.8787471,-69.9751057",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-08-17,17:20:00,6.72,19.71
283,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Senati Puno,"-15.8699536,-69.9988485",2024-07-14,09:37:00,5.88,16.52
284,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Real Plaza Puno,"-15.8426,-70.0141",2024-07-12,07:59:00,1.86,6.03
285,Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",Parque Pino Puno,"-15.8378073,-70.0280672",2024-06-11,03:58:00,1.41,4.38
286,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Salcedo Puno,"-15.8687992,-69.9986595",2024-11-25,06:10:00,6.18,23.16
287,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-06-17,20:08:00,4.86,17.24
288,Puerto Lacustre Puno,"-15.8491,-70.0185",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-06-18,08:35:00,1.11,4.26
289,Av. Costanera Puno,"-15.8399095,-70.0176539",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-08-05,00:54:00,2.11,9.08
290,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-07-10,16:51:00,5.94,17.15
291,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-06-22,06:44:00,0.8,2.99
292,Municipalidad Provincial de Puno,"-15.84,-70.025",Urbanización Bellavista Puno,"-15.84,-70.028",2024-09-29,20:02:00,0.8,2.76
293,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-07-30,12:50:00,1.06,3.35
294,Terminal Terrestre Puno,"-15.848,-70.0146",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-11-01,06:13:00,0.8,2.59
295,Urbanización Bellavista Puno,"-15.84,-70.028",Municipalidad Provincial de Puno,"-15.84,-70.025",2024-09-09,18:27:00,0.8,3.69
296,Urbanización Huajsapata Puno,"-15.856,-70.0235",Plazuela 15 de Agosto Puno,"-15.839,-70.0265",2024-09-27,07:11:00,2.57,9.22
297,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Urbanización Salcedo Puno,"-15.8724851,-69.9928585",2024-10-08,19:12:00,6.05,17.03
298,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Gobierno Regional de Puno,"-15.8400211,-70.0276698",2024-07-07,09:06:00,2.21,9.19
299,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Real Plaza Puno,"-15.8426,-70.0141",2024-07-14,18:27:00,1.07,3.75
300,Av. Costanera Puno,"-15.8399095,-70.0176539",Real Plaza Puno,"-15.8426,-70.0141",2024-11-01,02:18:00,0.8,2.92
301,Urbanización Huajsapata Puno,"-15.856,-70.0235",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-08-11,17:27:00,1.69,5.83
302,Colegio Don Bosco Puno,"-15.8282,-70.0481",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-08-16,09:11:00,3.34,9.54
303,Jirón Lima Puno,"-15.8387563,-70.0281599",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-09-02,16:43:00,1.62,5.78
304,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-06-21,00:12:00,0.8,3.05
305,Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-20,19:29:00,1.08,3.51
306,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-11-29,05:44:00,1.02,3.61
307,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Urbanización Huajsapata Puno,"-15.856,-70.0235",2024-07-11,14:06:00,3.34,9.22
308,Colegio Don Bosco Puno,"-15.8282,-70.0481",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-25,14:15:00,4.42,15.92
309,Urbanización Alto Puno,"-15.8282,-70.0481",Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",2024-09-16,17:06:00,5.78,21.04
310,Municipalidad Provincial de Puno,"-15.84,-70.025",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-10-14,11:04:00,1.73,7.51
311,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-11-15,20:40:00,0.8,3.0
312,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Parque Pino Puno,"-15.8378073,-70.0280672",2024-10-19,17:52:00,0.8,3.18
313,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Instituto de Educación Superior Tecnológico Público Puno,"-15.845,-70.022",2024-06-20,11:59:00,0.8,4.56
314,Parque Pino Puno,"-15.8378073,-70.0280672",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-07-11,00:14:00,0.8,2.77
315,Puerto Lacustre Puno,"-15.8491,-70.0185",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-09-14,04:10:00,0.8,3.29
316,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-09-15,13:27:00,2.36,7.81
317,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Mercado Central Bellavista Puno,"-15.8375174,-70.026609",2024-07-31,18:37:00,0.86,3.38
318,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-08-20,16:05:00,3.62,11.7
319,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Salcedo Puno,"-15.8687992,-69.9986595",2024-11-23,04:39:00,5.58,18.69
320,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-28,22:05:00,0.8,3.06
321,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Salcedo Puno,"-15.8687992,-69.9986595",2024-07-05,05:08:00,7.43,17.17
322,Jirón Lima Puno,"-15.8387563,-70.0281599",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-08-10,20:11:00,0.8,3.01
323,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-07-01,01:23:00,1.65,5.36
324,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-03,08:42:00,4.01,11.77
325,Puerto Muñoz Díaz Puno,"-15.8485,-70.019",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-09-08,16:00:00,1.19,4.4
326,Urbanización Huajsapata Puno,"-15.856,-70.0235",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-11-27,03:53:00,1.33,5.21
327,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Terminal Terrestre Puno,"-15.848,-70.0146",2024-08-29,02:01:00,1.93,8.1
328,Senati Puno,"-15.8699536,-69.9988485",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-08-15,08:38:00,6.17,20.69
329,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Iglesia San Juan Bautista Puno,"-15.841,-70.026",2024-11-01,00:12:00,1.87,6.02
330,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-09-17,22:08:00,4.97,13.39
331,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Catedral Basílica de Puno,"-15.8409556,-70.029004",2024-08-07,03:35:00,1.07,3.22
332,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-08-24,16:13:00,0.8,2.53
333,Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",Puerto Lacustre Puno,"-15.8491,-70.0185",2024-07-12,02:15:00,0.99,3.06
334,Terminal Terrestre Puno,"-15.848,-70.0146",Complejo Deportivo Alto Llavini Puno,"-15.847,-70.025",2024-08-29,17:42:00,1.58,5.52
335,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Urbanización Alto Puno,"-15.8282,-70.0481",2024-09-10,01:42:00,4.16,13.31
