ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida
193,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-27,09:56:00
194,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Mercado Laykakota Puno,"-15.8465279,-70.0207765",2024-11-21,14:30:00
195,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-11-10,08:59:00
196,Avenida Floral Puno,"-15.8268687,-70.0141471",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-06-01,18:57:00
197,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-10-10,18:48:00
198,Parque Pino Puno,"-15.8378073,-70.0280672",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-11-25,16:11:00
199,Avenida La Torre Puno,"-15.8336052,-70.0276202",Urbanización Alto Puno,"-15.814292,-70.031918",2024-10-05,17:03:00
200,Plaza Vea Puno,"-15.83636,-70.025604",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-06-20,17:45:00
201,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-07-27,06:40:00
202,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Parque del Niño Puno,"-15.858797,-70.012071",2024-08-07,06:58:00
203,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-11-16,17:48:00
204,Salcedo Puno,"-15.8687992,-69.9986595",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-09,04:10:00
205,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-09-29,15:23:00
206,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-06-04,21:34:00
207,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-10-31,21:53:00
208,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-09-22,13:19:00
209,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-08-13,18:59:00
210,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-10,20:26:00
211,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Parque del Periodista Puno,"-15.839012,-70.023311",2024-06-03,10:49:00
212,Jayllihuaya Puno,"-15.8787471,-69.9751057",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-11-09,08:18:00
213,Avenida Floral Puno,"-15.8268687,-70.0141471",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-06-28,23:53:00
214,Salcedo Puno,"-15.8687992,-69.9986595",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-10-15,09:09:00
215,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-09-01,01:16:00
216,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-09-03,15:35:00
217,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-12,07:35:00
218,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-27,20:03:00
219,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-18,13:55:00
220,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-08-15,22:13:00
221,Av. Costanera Puno,"-15.8399095,-70.0176539",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-06-20,08:55:00
222,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-30,23:13:00
223,Jr. Tarapacá Puno,"-15.83755,-70.029158",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-11-11,11:05:00
224,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-06-12,08:29:00
225,Urbanización Alto Puno,"-15.814292,-70.031918",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-11-24,17:08:00
226,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-08-16,15:49:00
227,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Parque del Niño Puno,"-15.858797,-70.012071",2024-10-11,16:09:00
228,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-06-12,09:23:00
229,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-21,06:35:00
230,Puerto Lacustre Puno,"-15.835401,-70.014945",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-10-10,18:39:00
231,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-11-12,19:16:00
232,Senati Puno,"-15.8699536,-69.9988485",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-10-01,18:20:00
233,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Parque Pino Puno,"-15.8378073,-70.0280672",2024-11-29,23:34:00
234,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-11-04,12:05:00
235,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-11-17,07:20:00
236,Jr. Los Incas Puno,"-15.836837,-70.024882",Jr. Lima Puno,"-15.838756,-70.02816",2024-07-01,06:56:00
237,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-07,20:20:00
238,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-07-02,18:53:00
239,Salcedo Puno,"-15.8687992,-69.9986595",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-26,07:58:00
240,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-09-02,03:38:00
241,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Urbanización Alto Puno,"-15.814292,-70.031918",2024-08-21,02:39:00
242,Parque San Román Puno,"-15.841093,-70.029431",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-07-11,00:03:00
243,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-10-27,15:30:00
244,Puerto Lacustre Puno,"-15.835401,-70.014945",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-09-15,21:11:00
245,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-06-05,04:40:00
246,Colegio Adventista Puno,"-15.8366071,-70.0291852",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-09-07,02:20:00
247,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-01,07:17:00
248,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-10-26,07:09:00
249,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-13,05:41:00
250,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-07-04,19:10:00
251,Puerto Lacustre Puno,"-15.835401,-70.014945",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-16,01:44:00
252,Senati Puno,"-15.8699536,-69.9988485",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-09-07,18:32:00
253,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Mirador Puma Uta Puno,"-15.8202693,-70.0287285",2024-09-03,03:22:00
254,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Senati Puno,"-15.8699536,-69.9988485",2024-07-05,01:54:00
255,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-26,15:19:00
256,Parque Pino Puno,"-15.8378073,-70.0280672",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-07-06,21:01:00
257,Jayllihuaya Puno,"-15.8787471,-69.9751057",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-23,23:17:00
258,Jr. Lima Puno,"-15.838756,-70.02816",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-07-30,17:40:00
259,Urbanización Alto Puno,"-15.814292,-70.031918",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-02,22:55:00
260,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-11-14,23:47:00
261,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-28,16:13:00
262,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-09-13,05:51:00
263,Jr. Tarapacá Puno,"-15.83755,-70.029158",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-14,01:41:00
264,Ministerio de Cultura Puno,"-15.842631,-70.028915",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-06-13,15:04:00
265,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-06-18,14:55:00
266,Colegio Adventista Puno,"-15.8366071,-70.0291852",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-25,17:56:00
267,Puerto Lacustre Puno,"-15.835401,-70.014945",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-03,11:15:00
268,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Jr. Lima Puno,"-15.838756,-70.02816",2024-11-06,19:00:00
269,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-09-12,18:13:00
270,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-08-11,12:34:00
271,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-07-19,16:33:00
272,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-08-11,11:30:00
273,Plaza Vea Puno,"-15.83636,-70.025604",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-10-21,04:14:00
274,Senati Puno,"-15.8699536,-69.9988485",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-30,03:24:00
275,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-09-19,01:32:00
276,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-08-19,03:49:00
277,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-10-07,17:02:00
278,Urbanización Alto Puno,"-15.814292,-70.031918",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-10-31,00:42:00
279,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-28,20:22:00
280,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-10,19:24:00
281,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-13,12:00:00
282,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-07-13,06:36:00
283,Puerto Lacustre Puno,"-15.835401,-70.014945",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-11-07,00:02:00
284,Puerto Lacustre Puno,"-15.835401,-70.014945",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-19,20:36:00
285,Jayllihuaya Puno,"-15.8787471,-69.9751057",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-07-26,03:37:00
286,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-10-17,07:00:00
287,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-03,23:05:00
288,Avenida La Torre Puno,"-15.8336052,-70.0276202",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-09-07,23:15:00
289,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Plaza Vea Puno,"-15.83636,-70.025604",2024-08-21,22:52:00
290,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-06-25,03:44:00
291,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-07-14,05:33:00
292,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-27,09:00:00
293,Jr. Tarapacá Puno,"-15.83755,-70.029158",Salcedo Puno,"-15.8687992,-69.9986595",2024-08-30,17:47:00
294,Urbanización Bellavista Puno,"-15.832755,-70.022242",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-06-29,01:03:00
295,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Jr. Lima Puno,"-15.838756,-70.02816",2024-09-23,14:21:00
296,Jr. Lima Puno,"-15.838756,-70.02816",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-08-07,20:03:00
297,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-07-08,12:41:00
298,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Parque del Periodista Puno,"-15.839012,-70.023311",2024-10-24,21:58:00
299,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-17,12:44:00
300,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-09-06,18:05:00
301,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-28,16:47:00
302,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",2024-09-29,11:46:00
303,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Jr. Lima Puno,"-15.838756,-70.02816",2024-06-27,19:10:00
304,Jr. Lima Puno,"-15.838756,-70.02816",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-09-09,17:40:00
305,Avenida La Torre Puno,"-15.8336052,-70.0276202",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-10-25,20:26:00
306,Parque Pino Puno,"-15.8378073,-70.0280672",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-06-09,10:18:00
307,Urbanización Alto Puno,"-15.814292,-70.031918",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-10-10,02:39:00
308,Senati Puno,"-15.8699536,-69.9988485",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-10-12,02:53:00
309,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-05,07:36:00
310,Urbanización Bellavista Puno,"-15.832755,-70.022242",Plaza Vea Puno,"-15.83636,-70.025604",2024-11-21,10:01:00
311,Urbanización Bellavista Puno,"-15.832755,-70.022242",Municipalidad Provincial de Puno,"-15.840283,-70.028314",2024-07-31,17:26:00
312,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-03,03:57:00
313,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-08,13:49:00
314,Av. Costanera Puno,"-15.8399095,-70.0176539",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-06-05,17:59:00
315,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",2024-11-23,05:11:00
316,Parque del Periodista Puno,"-15.839012,-70.023311",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-07,20:25:00
317,Plaza Vea Puno,"-15.83636,-70.025604",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-08-23,18:16:00
318,Plaza Vea Puno,"-15.83636,-70.025604",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-09-26,00:41:00
319,Avenida La Torre Puno,"-15.8336052,-70.0276202",Senati Puno,"-15.8699536,-69.9988485",2024-06-21,18:19:00
320,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-06-09,00:53:00
321,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",2024-10-13,00:18:00
322,Av. Costanera Puno,"-15.8399095,-70.0176539",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-08-17,05:26:00
323,Colegio Don Bosco Puno,"-15.883085,-70.001176",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-06-15,08:43:00
324,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-11-15,12:59:00
325,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Jr. Lima Puno,"-15.838756,-70.02816",2024-10-20,13:41:00
326,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-26,04:27:00
327,Ministerio de Cultura Puno,"-15.842631,-70.028915",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-11-20,02:11:00
328,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-10-05,21:55:00
329,Ministerio de Cultura Puno,"-15.842631,-70.028915",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-07-03,20:54:00
330,Jayllihuaya Puno,"-15.8787471,-69.9751057",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-10-08,10:34:00
331,Salcedo Puno,"-15.8687992,-69.9986595",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-16,14:56:00
332,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-09-20,01:30:00
333,Puerto Lacustre Puno,"-15.835401,-70.014945",Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",2024-07-31,03:31:00
334,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-11-04,08:23:00
335,Plaza Vea Puno,"-15.83636,-70.025604",Parque del Periodista Puno,"-15.839012,-70.023311",2024-11-09,09:23:00
336,Plaza Vea Puno,"-15.83636,-70.025604",Urbanización Alto Puno,"-15.814292,-70.031918",2024-10-17,02:43:00
337,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-08-21,03:17:00
338,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-11-28,01:51:00
339,Terminal Terrestre Puno,"-15.843678,-70.017225",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-10-17,12:00:00
340,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Colegio Don Bosco Puno,"-15.883085,-70.001176",2024-09-29,04:43:00
341,Parque Pino Puno,"-15.8378073,-70.0280672",Parque del Niño Puno,"-15.858797,-70.012071",2024-08-16,19:46:00
342,Parque Pino Puno,"-15.8378073,-70.0280672",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-08-15,02:13:00
343,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-18,09:10:00
344,Puerto Lacustre Puno,"-15.835401,-70.014945",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-11-17,06:08:00
345,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-08-29,13:47:00
346,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-10-23,20:54:00
347,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-08-13,20:12:00
348,Salcedo Puno,"-15.8687992,-69.9986595",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-10-22,14:09:00
349,Avenida El Sol Puno,"-15.8458219,-70.0202123",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-07-24,05:22:00
350,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Mercado Bellavista Puno,"-15.8335335,-70.0233376",2024-08-18,11:34:00
351,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Salcedo Puno,"-15.8687992,-69.9986595",2024-09-12,05:11:00
352,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-11-15,18:08:00
353,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Parque del Periodista Puno,"-15.839012,-70.023311",2024-06-07,20:57:00
